"station_id","is_renting","is_returning","num_docks_available","num_docks_disabled","num_bikes_available","num_bikes_disabled","num_ebikes_available","last_updated"
"104",1,1,9,0,16,0,0,2022-12-04 20:33:07
"105",1,1,5,0,19,0,0,2022-12-04 20:33:07
"101",1,1,21,0,9,1,0,2022-12-04 20:34:02
"102",1,1,16,0,7,0,1,2022-12-04 20:34:02
"103",1,1,24,0,15,0,0,2022-12-04 20:34:02
"104",1,1,9,0,16,0,0,2022-12-04 20:34:02
"105",1,1,7,0,17,0,0,2022-12-04 20:34:02
"101",1,1,21,0,9,1,0,2022-12-04 20:35:01
"102",1,1,16,0,7,0,1,2022-12-04 20:35:01
"103",1,1,24,0,15,0,0,2022-12-04 20:35:01
"104",1,1,9,0,16,0,0,2022-12-04 20:35:01
"105",1,1,7,0,17,0,0,2022-12-04 20:35:01
"101",1,1,21,0,9,1,0,2022-12-04 20:36:01
"102",1,1,16,0,7,0,1,2022-12-04 20:36:01
"103",1,1,24,0,15,0,0,2022-12-04 20:36:01
"104",1,1,9,0,16,0,0,2022-12-04 20:36:01
"105",1,1,7,0,17,0,0,2022-12-04 20:36:01
"101",1,1,21,0,9,1,0,2022-12-04 20:37:02
"102",1,1,16,0,7,0,1,2022-12-04 20:37:02
"103",1,1,24,0,15,0,0,2022-12-04 20:37:02
"104",1,1,9,0,16,0,0,2022-12-04 20:37:02
"105",1,1,7,0,17,0,0,2022-12-04 20:37:02
"101",1,1,21,0,9,1,0,2022-12-04 20:38:02
"102",1,1,16,0,7,0,1,2022-12-04 20:38:02
"103",1,1,24,0,15,0,0,2022-12-04 20:38:02
"104",1,1,9,0,16,0,0,2022-12-04 20:38:02
"105",1,1,7,0,17,0,0,2022-12-04 20:38:02
"101",1,1,21,0,9,1,0,2022-12-04 20:39:02
"102",1,1,16,0,7,0,1,2022-12-04 20:39:02
"103",1,1,24,0,15,0,0,2022-12-04 20:39:02
"104",1,1,9,0,16,0,0,2022-12-04 20:39:02
"105",1,1,7,0,17,0,0,2022-12-04 20:39:02
"101",1,1,21,0,9,1,0,2022-12-04 20:40:01
"102",1,1,16,0,7,0,1,2022-12-04 20:40:01
"103",1,1,24,0,15,0,0,2022-12-04 20:40:01
"104",1,1,9,0,16,0,0,2022-12-04 20:40:01
"105",1,1,7,0,17,0,0,2022-12-04 20:40:01
"101",1,1,21,0,9,1,0,2022-12-04 20:41:01
"102",1,1,16,0,7,0,1,2022-12-04 20:41:01
"103",1,1,24,0,15,0,0,2022-12-04 20:41:01
"104",1,1,9,0,16,0,0,2022-12-04 20:41:01
"105",1,1,7,0,17,0,0,2022-12-04 20:41:01
"101",1,1,21,0,9,1,0,2022-12-04 20:42:06
"102",1,1,16,0,7,0,1,2022-12-04 20:42:06
"103",1,1,24,0,15,0,0,2022-12-04 20:42:06
"104",1,1,9,0,16,0,0,2022-12-04 20:42:06
"105",1,1,7,0,17,0,0,2022-12-04 20:42:06
"101",1,1,21,0,9,1,0,2022-12-04 20:43:02
"102",1,1,16,0,7,0,1,2022-12-04 20:43:02
"103",1,1,24,0,15,0,0,2022-12-04 20:43:02
"104",1,1,9,0,16,0,0,2022-12-04 20:43:02
"105",1,1,7,0,17,0,0,2022-12-04 20:43:02
"101",1,1,21,0,9,1,0,2022-12-04 20:44:02
"102",1,1,16,0,7,0,1,2022-12-04 20:44:02
"103",1,1,24,0,15,0,0,2022-12-04 20:44:02
"104",1,1,9,0,16,0,0,2022-12-04 20:44:02
"105",1,1,7,0,17,0,0,2022-12-04 20:44:02
"101",1,1,21,0,9,1,0,2022-12-04 20:45:02
"102",1,1,16,0,7,0,1,2022-12-04 20:45:02
"103",1,1,24,0,15,0,0,2022-12-04 20:45:02
"104",1,1,9,0,16,0,0,2022-12-04 20:45:02
"105",1,1,7,0,17,0,0,2022-12-04 20:45:02
"101",1,1,21,0,9,1,0,2022-12-04 20:46:02
"102",1,1,16,0,7,0,1,2022-12-04 20:46:02
"103",1,1,24,0,15,0,0,2022-12-04 20:46:02
"104",1,1,9,0,16,0,0,2022-12-04 20:46:02
"105",1,1,7,0,17,0,0,2022-12-04 20:46:02
"101",1,1,21,0,9,1,0,2022-12-04 20:47:02
"102",1,1,16,0,7,0,1,2022-12-04 20:47:02
"103",1,1,24,0,15,0,0,2022-12-04 20:47:02
"104",1,1,9,0,16,0,0,2022-12-04 20:47:02
"105",1,1,7,0,17,0,0,2022-12-04 20:47:02
"101",1,1,21,0,9,1,0,2022-12-04 20:48:02
"102",1,1,16,0,7,0,1,2022-12-04 20:48:02
"103",1,1,24,0,15,0,0,2022-12-04 20:48:02
"104",1,1,9,0,16,0,0,2022-12-04 20:48:02
"105",1,1,7,0,17,0,0,2022-12-04 20:48:02
"101",1,1,21,0,9,1,0,2022-12-04 20:49:02
"102",1,1,16,0,7,0,1,2022-12-04 20:49:02
"103",1,1,24,0,15,0,0,2022-12-04 20:49:02
"104",1,1,9,0,16,0,0,2022-12-04 20:49:02
"105",1,1,7,0,17,0,0,2022-12-04 20:49:02
"101",1,1,21,0,9,1,0,2022-12-04 20:50:01
"102",1,1,16,0,7,0,1,2022-12-04 20:50:01
"103",1,1,24,0,15,0,0,2022-12-04 20:50:01
"104",1,1,9,0,16,0,0,2022-12-04 20:50:01
"105",1,1,7,0,17,0,0,2022-12-04 20:50:01
"101",1,1,21,0,9,1,0,2022-12-04 20:51:01
"102",1,1,16,0,7,0,1,2022-12-04 20:51:01
"103",1,1,24,0,15,0,0,2022-12-04 20:51:01
"104",1,1,9,0,16,0,0,2022-12-04 20:51:01
"105",1,1,7,0,17,0,0,2022-12-04 20:51:01
"101",1,1,21,0,9,1,0,2022-12-04 20:51:57
"102",1,1,16,0,7,0,1,2022-12-04 20:51:57
"103",1,1,24,0,15,0,0,2022-12-04 20:51:57
"104",1,1,9,0,16,0,0,2022-12-04 20:51:57
"105",1,1,7,0,17,0,0,2022-12-04 20:51:57
"101",1,1,21,0,9,1,0,2022-12-04 20:53:02
"102",1,1,14,0,9,0,1,2022-12-04 20:53:02
"103",1,1,24,0,15,0,0,2022-12-04 20:53:02
"104",1,1,9,0,16,0,0,2022-12-04 20:53:02
"105",1,1,7,0,17,0,0,2022-12-04 20:53:02
"101",1,1,21,0,9,1,0,2022-12-04 20:53:56
"102",1,1,14,0,9,0,1,2022-12-04 20:53:56
"103",1,1,24,0,15,0,0,2022-12-04 20:53:56
"104",1,1,9,0,16,0,0,2022-12-04 20:53:56
"105",1,1,7,0,17,0,0,2022-12-04 20:53:56
"101",1,1,21,0,9,1,0,2022-12-04 20:55:01
"102",1,1,14,0,9,0,1,2022-12-04 20:55:01
"103",1,1,24,0,15,0,0,2022-12-04 20:55:01
"104",1,1,9,0,16,0,0,2022-12-04 20:55:01
"105",1,1,7,0,17,0,0,2022-12-04 20:55:01
"101",1,1,21,0,9,1,0,2022-12-04 20:56:01
"102",1,1,14,0,9,0,1,2022-12-04 20:56:01
"103",1,1,24,0,15,0,0,2022-12-04 20:56:01
"104",1,1,9,0,16,0,0,2022-12-04 20:56:01
"105",1,1,7,0,17,0,0,2022-12-04 20:56:01
"101",1,1,21,0,9,1,0,2022-12-04 20:57:02
"102",1,1,14,0,9,0,1,2022-12-04 20:57:02
"103",1,1,24,0,15,0,0,2022-12-04 20:57:02
"104",1,1,9,0,16,0,0,2022-12-04 20:57:02
"105",1,1,8,0,16,0,0,2022-12-04 20:57:02
"101",1,1,21,0,9,1,0,2022-12-04 20:58:02
"102",1,1,14,0,9,0,1,2022-12-04 20:58:02
"103",1,1,24,0,15,0,0,2022-12-04 20:58:02
"104",1,1,9,0,16,0,0,2022-12-04 20:58:02
"105",1,1,8,0,16,0,0,2022-12-04 20:58:02
"101",1,1,21,0,9,1,0,2022-12-04 20:59:02
"102",1,1,14,0,9,0,1,2022-12-04 20:59:02
"103",1,1,24,0,15,0,0,2022-12-04 20:59:02
"104",1,1,9,0,16,0,0,2022-12-04 20:59:02
"105",1,1,8,0,16,0,0,2022-12-04 20:59:02
"101",1,1,21,0,9,1,0,2022-12-04 20:59:56
"102",1,1,14,0,9,0,1,2022-12-04 20:59:56
"103",1,1,24,0,15,0,0,2022-12-04 20:59:56
"104",1,1,9,0,16,0,0,2022-12-04 20:59:56
"105",1,1,8,0,16,0,0,2022-12-04 20:59:56
"101",1,1,21,0,9,1,0,2022-12-04 21:01:01
"102",1,1,14,0,9,0,1,2022-12-04 21:01:01
"103",1,1,24,0,15,0,0,2022-12-04 21:01:01
"104",1,1,9,0,16,0,0,2022-12-04 21:01:01
"105",1,1,8,0,16,0,0,2022-12-04 21:01:01
"101",1,1,21,0,9,1,0,2022-12-04 21:02:06
"102",1,1,14,0,9,0,1,2022-12-04 21:02:06
"103",1,1,24,0,15,0,0,2022-12-04 21:02:06
"104",1,1,9,0,16,0,0,2022-12-04 21:02:06
"105",1,1,8,0,16,0,0,2022-12-04 21:02:06
"101",1,1,21,0,9,1,0,2022-12-04 21:03:02
"102",1,1,14,0,9,0,1,2022-12-04 21:03:02
"103",1,1,24,0,15,0,0,2022-12-04 21:03:02
"104",1,1,9,0,16,0,0,2022-12-04 21:03:02
"105",1,1,8,0,16,0,0,2022-12-04 21:03:02
"101",1,1,21,0,9,1,0,2022-12-04 21:04:02
"102",1,1,14,0,9,0,1,2022-12-04 21:04:02
"103",1,1,24,0,15,0,0,2022-12-04 21:04:02
"104",1,1,9,0,16,0,0,2022-12-04 21:04:02
"105",1,1,8,0,16,0,0,2022-12-04 21:04:02
"101",1,1,21,0,9,1,0,2022-12-04 21:05:01
"102",1,1,14,0,9,0,1,2022-12-04 21:05:01
"103",1,1,24,0,15,0,0,2022-12-04 21:05:01
"104",1,1,9,0,16,0,0,2022-12-04 21:05:01
"105",1,1,8,0,16,0,0,2022-12-04 21:05:01
"101",1,1,21,0,9,1,0,2022-12-04 21:06:01
"102",1,1,14,0,9,0,1,2022-12-04 21:06:01
"103",1,1,24,0,15,0,0,2022-12-04 21:06:01
"104",1,1,9,0,16,0,0,2022-12-04 21:06:01
"105",1,1,8,0,16,0,0,2022-12-04 21:06:01
"101",1,1,21,0,9,1,0,2022-12-04 21:07:02
"102",1,1,14,0,9,0,1,2022-12-04 21:07:02
"103",1,1,24,0,15,0,0,2022-12-04 21:07:02
"104",1,1,9,0,16,0,0,2022-12-04 21:07:02
"105",1,1,8,0,16,0,0,2022-12-04 21:07:02
"101",1,1,21,0,9,1,0,2022-12-04 21:08:02
"102",1,1,14,0,9,0,1,2022-12-04 21:08:02
"103",1,1,24,0,15,0,0,2022-12-04 21:08:02
"104",1,1,9,0,16,0,0,2022-12-04 21:08:02
"105",1,1,8,0,16,0,0,2022-12-04 21:08:02
"101",1,1,21,0,9,1,0,2022-12-04 21:09:02
"102",1,1,14,0,9,0,1,2022-12-04 21:09:02
"103",1,1,24,0,15,0,0,2022-12-04 21:09:02
"104",1,1,9,0,16,0,0,2022-12-04 21:09:02
"105",1,1,8,0,16,0,0,2022-12-04 21:09:02
"101",1,1,21,0,9,1,0,2022-12-04 21:10:01
"102",1,1,14,0,9,0,1,2022-12-04 21:10:01
"103",1,1,24,0,15,0,0,2022-12-04 21:10:01
"104",1,1,9,0,16,0,0,2022-12-04 21:10:01
"105",1,1,8,0,16,0,0,2022-12-04 21:10:01
"101",1,1,21,0,9,1,0,2022-12-04 21:11:01
"102",1,1,14,0,9,0,1,2022-12-04 21:11:01
"103",1,1,24,0,15,0,0,2022-12-04 21:11:01
"104",1,1,9,0,16,0,0,2022-12-04 21:11:01
"105",1,1,8,0,16,0,0,2022-12-04 21:11:01
"101",1,1,21,0,9,1,0,2022-12-04 21:12:02
"102",1,1,14,0,9,0,1,2022-12-04 21:12:02
"103",1,1,24,0,15,0,0,2022-12-04 21:12:02
"104",1,1,9,0,16,0,0,2022-12-04 21:12:02
"105",1,1,8,0,16,0,0,2022-12-04 21:12:02
"101",1,1,21,0,9,1,0,2022-12-04 21:13:02
"102",1,1,14,0,9,0,1,2022-12-04 21:13:02
"103",1,1,24,0,15,0,0,2022-12-04 21:13:02
"104",1,1,9,0,16,0,0,2022-12-04 21:13:02
"105",1,1,8,0,16,0,0,2022-12-04 21:13:02
"101",1,1,21,0,9,1,0,2022-12-04 21:14:02
"102",1,1,14,0,9,0,1,2022-12-04 21:14:02
